img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.03937259,0.0073283277,0.0018625772,0.0,0.0,0.0,0.14923641,0.005363238,0.00034688928
0.039371468,0.0073279627,0.0018623918,0.0,0.0,0.0,0.14922825,0.0053627044,0.00034682028
0.0393718,0.007328775,0.0018616179,0.0,0.0,0.0,0.14923066,0.005363892,0.0003465321
0.03937123,0.007328298,0.001861874,0.0,0.0,0.0,0.1492265,0.0053631947,0.00034662744
0.03937272,0.007327825,0.0018626042,0.0,0.0,0.0,0.14923738,0.005362503,0.00034689938
0.039372742,0.0073278993,0.0018617911,0.0,0.0,0.0,0.14923754,0.005362612,0.00034659661
0.039372426,0.00732686,0.0018629739,0.0,0.0,0.0,0.14923523,0.0053610927,0.00034703707
0.03937325,0.0073294565,0.0018625967,0.0,0.0,0.0,0.14924124,0.0053648883,0.0003468966
0.039373074,0.0073295347,0.0018624775,0.0,0.0,0.0,0.14923996,0.0053650024,0.0003468522
0.039370462,0.0073278397,0.0018615769,0.0,0.0,0.0,0.1492209,0.005362525,0.00034651684
0.03937243,0.007326696,0.0018622922,0.0,0.0,0.0,0.14923526,0.005360853,0.00034678317
0.039373398,0.00732854,0.0018622354,0.0,0.0,0.0,0.14924231,0.0053635486,0.000346762
0.039371323,0.00732778,0.0018613394,0.08618466,0.13584,0.009567678,0.1571965,1.0919806,0.005919435
0.03937337,0.0073290616,0.0018627392,0.349395,0.028118702,0.0071692294,2.0113633,0.041904543,0.002810153
0.039372567,0.007327251,0.0018627727,0.0,0.0,0.0,0.14923626,0.0053616646,0.00034696216
0.03937244,0.007326789,0.001862973,0.0,0.0,0.0,0.14923534,0.0053609894,0.00034703672
0.039372902,0.007329613,0.0018624524,0.0,0.0,0.0,0.14923872,0.005365117,0.00034684283
0.039372,0.0073268972,0.0018627169,0.0,0.0,0.0,0.14923213,0.0053611468,0.00034694135
0.03937253,0.0073275343,0.0018623723,0.0,0.0,0.0,0.149236,0.0053620785,0.000346813
0.039373416,0.0073296204,0.0018623825,0.0,0.0,0.0,0.14924246,0.0053651277,0.00034681679
0.03937151,0.0073276088,0.0018617976,0.0,0.0,0.0,0.14922854,0.0053621875,0.00034659903
0.03937155,0.00732816,0.0018620733,0.0,0.0,0.0,0.14922883,0.0053629926,0.00034670165
0.039372277,0.0073271804,0.0018617604,0.0,0.0,0.0,0.14923415,0.0053615607,0.00034658518
0.03937149,0.0073287524,0.0018620295,0.0,0.0,0.0,0.1492284,0.0053638592,0.00034668535
0.03937282,0.0073288456,0.0018625995,0.0,0.0,0.0,0.14923811,0.005363995,0.0003468976
0.03937107,0.0073280893,0.0018619755,0.55228764,0.35963908,0.110054515,2.697876,2.842541,0.89142764
0.039372697,0.007327497,0.0018619066,0.0,0.0,0.0,0.14923722,0.005362024,0.00034663957
0.039373357,0.0073282123,0.0018632011,0.0,0.0,0.0,0.14924203,0.005363069,0.00034712174
0.03937249,0.0073299,0.0018621925,0.0,0.0,0.0,0.14923568,0.0053655365,0.00034674603
0.03937324,0.0073294304,0.0018623853,0.0,0.0,0.0,0.14924118,0.0053648497,0.00034681783
0.039372467,0.007329125,0.0018623248,0.0,0.0,0.0,0.14923553,0.0053644036,0.00034679528
0.039372895,0.007328864,0.0018625706,0.0,0.0,0.0,0.14923866,0.0053640227,0.00034688687
0.039372575,0.007327527,0.001862336,0.0,0.0,0.0,0.1492363,0.0053620674,0.00034679947
0.039372303,0.007327363,0.0018627513,0.0,0.0,0.0,0.14923432,0.005361828,0.00034695418
0.03937245,0.0073291026,0.0018624319,0.0,0.0,0.0,0.14923541,0.005364371,0.00034683518
0.039370935,0.007327985,0.0018617865,0.0,0.0,0.0,0.14922436,0.005362737,0.00034659487
0.0393711,0.007328078,0.001861739,0.0,0.0,0.0,0.14922556,0.005362873,0.0003465772
0.03937243,0.0073268972,0.0018629627,0.0,0.0,0.0,0.14923526,0.0053611468,0.0003470329
0.0393728,0.007329762,0.0018633949,0.028939797,0.005399982,0.0017324018,0.009747558,0.0003709025,1.7153642e-06
0.03937349,0.0073288977,0.0018628687,0.0,0.0,0.0,0.149243,0.0053640716,0.00034699787
0.039372057,0.0073269494,0.0018626153,0.0,0.0,0.0,0.14923254,0.005361223,0.00034690354
0.03937282,0.007327944,0.0018618526,0.0,0.0,0.0,0.14923811,0.005362677,0.00034661946
0.03937198,0.0073287934,0.0018617567,0.0,0.0,0.0,0.14923196,0.005363919,0.00034658378
0.03937321,0.0073294714,0.001862539,0.0,0.0,0.0,0.14924097,0.00536491,0.00034687508
0.039372433,0.007326536,0.001862037,0.36290917,0.02909405,0.0073859687,2.074533,0.045861624,0.0030448718
0.0393725,0.0073278695,0.0018632682,0.0,0.0,0.0,0.14923577,0.005362569,0.00034714674
0.03937265,0.007329691,0.0018628417,0.0,0.0,0.0,0.14923686,0.005365231,0.0003469878
0.03937242,0.007327579,0.0018623136,0.0,0.0,0.0,0.1492352,0.0053621437,0.00034679112
0.03937317,0.0073295236,0.001862417,0.0,0.0,0.0,0.14924067,0.005364986,0.00034682965
0.03937144,0.007328298,0.001861793,0.4674969,0.036701445,0.0091458075,2.4692736,0.08228995,0.0052896636
0.03937359,0.0073283873,0.0018633232,0.0,0.0,0.0,0.14924374,0.0053633256,0.0003471672
0.039373092,0.007329099,0.0018627979,0.0,0.0,0.0,0.1492401,0.0053643654,0.00034697153
0.03937271,0.0073276795,0.0018619616,0.0,0.0,0.0,0.14923729,0.0053622904,0.00034666003
